Question,ANSWER
What shape is this building?, This a simple square but there's a glass tube out the door as well
Who was beaten by AlphaGo?, Lee Sedol
Which chess grand master was beaten by Deep Blue?, Gary Kasparov
What is the first law of robotics?,A robot may not injure a human being or through inaction allow a human being to come to harm
What is the second law of robotics?,A robot must obey orders given it by human beings except where such orders would conflict with the First Law
What is the third law of robotics?,A robot must protect its own existence as long as such protection does not conflict with the First or Second Law
How many arms do you have?, ...
What is this building called?, Leipziger Messe
What city are we in?, Leipzig
What country are we in?, Germany
What continent are we on?, Europe
What planet are we on?, Earth
Who wrote the Laws of robotics?, Isaac Asimov
Which robot was the star in the movie Wall-E?, Wall-E
Which robot is the love interest in Wall-E?, EVE
Who is the companion of C3PO?, R2D2
What is the name of the actor that played Mister Spock?, Leonard Nimoy 
What is the term for a robot that cooperate with a human?, Cobot
In which county is the play of Hamlet set?, Denmark
What are names of Donald Duck's nephews?, Huey Dewey and Louie Duck
How many metres are in a mile?, About 1609 metres
What did Alan Turing create?, Many things, like Turing machines and the Turing test
Where does the term computer bug come from?,From a moth trapped in a relay
What Apollo was the last to land on the moon?, Apollo 17
Who was the last man to step on the moon?, Gene Cernan
Who is the helicopter pilot in the A-Team?, Captain Howling Mad Murdock
Who made an offer that can't be refused?, Don Corleone in The Godfather
Who is president of the galaxy in The Hitchhiker's Guide to the Galaxy?, Zaphod Beeblebrox
What is the heaviest element?, Plutonium when measured by the mass of the element but Osmium is densest
Where does the president of the United States live?, The White House
Name a dragon in The Lord of the Rings?, Smaug
Who is the Chancellor of Germany?, Angela Merkel
How many bits are in a byte?, Eight
Who are the inventors of the C programming language?, Ken Thompson and Dennis Ritchie 
Who is the inventor of the Python programming language?, Guido van Rossum
What is the funny clumsy character of the Star Wars prequals?, Jar-Jar Binks
Which company makes ASIMO?, Honda
What company makes Big Dog?, Boston Dynamics
What is the name of the round robot in the new Star Wars movie? BB-8
How many people live in the Germany?, A little over 80 million
What are the colours of the German flag?, Black, red and yellow
What city is the capital of the Germany?, Berlin
What countries does the Germany have as neighbors?, Netherlands, Denmark, Poland, Czech Republic, Austria, Switzerland, France, Luxemburg and Belgium
How many curry sausages are eaten in Germany each year?, About 800 million currywurst every year
Can you name an animal that is a bird but can't fly?, Ostrich
What does RAM stand for in computing?, Random Access Memory
What is VHS an abbreviation of?, Video Home System
In what year was the first version of Linux published?, 1991
What operating system do you run?, ...
How many arms do you have?, ...
What is the name of your team?, ...